id,ebola,Longitude,Latitude,Roadeast,Zone
AK-Gor 4,2,15.50393,0.53168,1,E
AK-Gor-01,2,15.68034,0.73145,1,G
AO-CHIMP 14,2,15.42707409,1.27529056,0,L
AO-CHIMP 15,2,15.41369028,1.27445765,0,L
AO-Gor 1,2,15.350301,0.884894,2,4
AO-GOR 1,2,15.80216,1.0059,1,H
AO-GOR 10,2,15.89730296,0.94050318,1,H
AO-GOR 11,2,15.73060275,1.01011556,1,H
AO-GOR 12,2,15.73060275,1.01011556,1,H
AO-GOR 13,2,15.42194319,1.33755771,0,L
AO-GOR 16,2,15.56082747,1.30746969,0,L
AO-GOR 2,2,15.80379738,0.98583251,1,H
AO-GOR 3,2,15.80379738,0.98583251,1,H
AO-GOR 4,2,15.80379738,0.98583251,1,H
AO-GOR 5,2,15.80379738,0.98583251,1,H
AO-GOR 6,2,15.87438634,0.95994383,1,H
AO-GOR 7,2,15.87695858,0.96114186,1,H
AO-GOR 8,2,15.89730296,0.94050318,1,H
AO-GOR 9,2,15.89730296,0.94050318,1,H
AT-1 Gor Ngombe,2,15.95319,0.69341,2,1
AT-1 Gor Ntokou,2,15.67978,0.42623,2,1
AT-2 Gor Ngombe,2,15.84549,0.78546,2,1
AT-2 Gor Ntokou,2,15.50088,0.39798,2,1
AT-3 Gor Ngombe,2,15.93192,0.88547,2,1
BG-Chimp 1,2,15.50631,0.91574,0,A
BG-Chimp 1,2,15.87929897,1.21352733,1,M
BG-Chimp 2,2,15.50631,0.91574,0,A
BG-Gor 1,2,15.56067,0.91439,0,A
BG-Gor-01,2,15.71793,0.774866,1,G
BG-Gor-01,2,15.42194,0.71841,1,J
BG-Gor-01,2,15.83315383,1.21454003,1,M
BG-Gor-02,2,15.71954,0.74892,1,G
BG-Gor-02,2,15.83396427,1.21447549,1,M
GA-1 Gor Ngombe,2,15.78945,1.07449,2,1
GA-2 Gor Ngombe,2,15.94445,1.08241,2,1
SK Gor 1,2,15.71792998,0.74800992,1,G
SK Gor 1,2,15.62812996,0.90522995,1,G
SK Gor 1,2,15.80443,0.96799,1,H
SK Gor 1,2,15.80547,0.98313,1,H
SK Gor 1,2,15.82921,0.962,1,H
SK Gor 1,2,15.91322,0.87822,1,I
SK Gor 2,2,15.71872995,0.76236997,1,G
SK Gor 2,2,15.62812996,0.90522995,1,G
SK Gor 2,2,15.91322,0.87822,1,I
SK Gor 3,2,15.62812996,0.90522995,1,G
SK Gor 3,2,15.93082,0.87745,1,I
SK-Chimp 1,2,15.51136,0.90048,2,3
SK-Chimp 1,2,15.477705,0.96804,2,3
SK-Chimp 2,2,15.51136,0.90048,2,3
SK-CMP-01,2,15.73893,0.8218,1,G
SK-CMP-02,2,15.74494,0.82099,1,G
SK-Gor 1,2,16.50298851,0.94765152,2,2
SK-Gor 1,2,16.50298851,0.94765152,2,2
SK-Gor 1,2,16.4603791,0.95225779,2,2
SK-Gor 1,2,15.476725,0.99926,2,3
SK-Gor 1,2,15.50932,0.80899,0,A
SK-Gor 1,2,15.59319,1.01508,0,B
SK-GOR 1,2,15.49644,0.12041,0,F
SK-Gor 1,2,15.43685,0.81111,1,J
SK-Gor 1,2,15.43763,0.74082,1,J
SK-Gor 1,2,15.43603,0.71426,1,J
SK-Gor 1,2,15.43669,0.70503,1,J
SK-Gor 1,2,15.93853296,1.25735194,1,M
SK-Gor 1,2,15.84669873,1.14434922,1,M
SK-Gor 1,2,15.87604201,1.19202968,1,M
SK-Gor 1,2,15.94839938,1.16175994,1,M
SK-Gor 1,2,15.96810088,1.17266882,1,M
SK-GOR 11,2,15.80514,1.05634,1,I
SK-GOR 12,2,15.98175,0.88811,1,I
SK-GOR 13,2,15.92227,0.90181,1,I
SK-GOR 14,2,15.92227,0.90181,1,I
SK-GOR 15,2,15.95344,1.15809,1,M
SK-GOR 16,2,15.85163,1.1419,1,M
SK-GOR 17,2,15.85163,1.1419,1,M
SK-GOR 18,2,15.85163,1.1419,1,M
SK-GOR 19,2,15.85163,1.1419,1,M
SK-Gor 2,2,15.477779,1.02389,2,3
SK-Gor 2,2,15.615,1.00622,0,B
SK-GOR 2,2,15.49676,1.11944,0,F
SK-Gor 2,2,15.43685,0.81111,1,J
SK-Gor 2,2,15.43763,0.74082,1,J
SK-Gor 2,2,15.93853296,1.25735194,1,M
SK-Gor 2,2,15.84669873,1.14434922,1,M
SK-Gor 2,2,15.94948123,1.1603952,1,M
SK-Gor 2,2,15.96810088,1.17266882,1,M
SK-GOR 20,2,15.85163,1.1419,1,M
SK-GOR 21,2,15.85163,1.1419,1,M
SK-GOR 22,2,15.85163,1.1419,1,M
SK-GOR 23,2,15.85163,1.1419,1,M
SK-GOR 24,2,15.85163,1.1419,1,M
SK-GOR 25,2,15.85163,1.1419,1,M
SK-GOR 26,2,15.85163,1.1419,1,M
SK-Gor 3,2,15.615,1.00622,0,B
SK-Gor 3,2,15.43685,0.81111,1,J
SK-Gor 3,2,15.93853296,1.25735194,1,M
SK-Gor 3,2,15.84669873,1.14434922,1,M
SK-Gor 3,2,15.94948123,1.1603952,1,M
SK-Gor 3,2,15.96810088,1.17266882,1,M
SK-Gor 4,2,15.615,1.00622,0,B
SK-Gor 4,2,15.93853296,1.25735194,1,M
SK-Gor 4,2,15.84669873,1.14434922,1,M
SK-Gor 5,2,15.615,1.00622,0,B
SK-Gor 5,2,15.84669873,1.14434922,1,M
SK-Gor-01,2,15.59112,0.82045,1,G
Reed_1,1,14.65705,0.33253,0,A'
Reed_21,1,15.1358,0.57578,0,B2'
Reed_22,1,15.18371,0.72904,0,B2'
Reed_23,1,15.19527,0.72874,0,B2'
Reed_4,1,14.65705,0.33253,0,A'
Reed_44,1,15.11448,0.47043,0,B1'
Reed_48,1,15.12259,0.36754,0,B1'
Reed_49,1,15.15256,0.39576,0,B1'
